"region","tons","product","year","species"
"III","0","oil",2014,"PESCADO NO CLASIFICADO"
"III","0","oil",2014,"PESCADO NO CLASIFICADO"
"III","0","oil",2014,"REINETA"
"III","0","oil",2014,"REINETA"
"III","0","oil",2014,"SARDINA AUSTRAL"
"III","0","oil",2014,"SARDINA AUSTRAL"
"III","0","oil",2014,"SARDINA COMUN"
"III","0","oil",2014,"SARDINA COMUN"
"III","0","oil",2014,"CALAMAR"
"III","0","oil",2014,"CALAMAR"
"III","0","oil",2014,"JIBIA O CALAMAR ROJO"
"III","0","oil",2014,"JIBIA O CALAMAR ROJO"
"III","0","oil",2014,"LANGOSTINO COLORADO"
"III","0","oil",2014,"LANGOSTINO COLORADO"
"III","0","oil",2014,"LANGOSTINO ENANO"
"III","0","oil",2014,"LANGOSTINO ENANO"
"IV","0","oil",2014,"AGUJILLA"
"IV","0","oil",2014,"AGUJILLA"
"IV","0","oil",2014,"ANCHOVETA"
"IV","0","oil",2014,"ANCHOVETA"
"IV","0","oil",2014,"BACALADILLO O MOTE"
"IV","0","oil",2014,"BACALADILLO O MOTE"
"IV","0","oil",2014,"CABALLA"
"IV","0","oil",2014,"CABALLA"
"IV","0","oil",2014,"JUREL"
"IV","0","oil",2014,"JUREL"
"IV","0","oil",2014,"MACHUELO O TRITRE"
"IV","0","oil",2014,"MACHUELO O TRITRE"
"IV","0","oil",2014,"MERLUZA DE COLA"
"IV","0","oil",2014,"MERLUZA DE COLA"
"IV","0","oil",2014,"PAMPANITO"
"IV","0","oil",2014,"PAMPANITO"
"IV","0","oil",2014,"PEJERREY DE MAR"
"IV","0","oil",2014,"PEJERREY DE MAR"
"IV","0","oil",2014,"PESCADO NO CLASIFICADO"
"IV","0","oil",2014,"PESCADO NO CLASIFICADO"
"IV","0","oil",2014,"REINETA"
"IV","0","oil",2014,"REINETA"
"IV","0","oil",2014,"SARDINA AUSTRAL"
"IV","0","oil",2014,"SARDINA AUSTRAL"
"IV","0","oil",2014,"SARDINA COMUN"
"IV","0","oil",2014,"SARDINA COMUN"
"IV","0","oil",2014,"CALAMAR"
"IV","0","oil",2014,"CALAMAR"
"IV","0","oil",2014,"JIBIA O CALAMAR ROJO"
"IV","0","oil",2014,"JIBIA O CALAMAR ROJO"
"IV","0","oil",2014,"LANGOSTINO COLORADO"
"IV","0","oil",2014,"LANGOSTINO COLORADO"
"IV","0","oil",2014,"LANGOSTINO ENANO"
"IV","0","oil",2014,"LANGOSTINO ENANO"
"V","0","oil",2014,"AGUJILLA"
"V","0","oil",2014,"AGUJILLA"
"V","0","oil",2014,"ANCHOVETA"
"V","207","oil",2014,"ANCHOVETA"
"V","0","oil",2014,"BACALADILLO O MOTE"
"V","0","oil",2014,"BACALADILLO O MOTE"
"V","0","oil",2014,"CABALLA"
"V","0","oil",2014,"CABALLA"
