"species","region","tons","product","year"
"CONGRIO NEGRO","VII",0,"fresh",2013
"CORVINA","VII",0,"fresh",2013
"JUREL","VII",0,"fresh",2013
"MERLUZA COMUN","VII",37,"fresh",2013
"MERLUZA DE COLA","VII",0,"fresh",2013
"MERLUZA DEL SUR O AUSTRAL","VII",0,"fresh",2013
"PEJEGALLO","VII",0,"fresh",2013
"PEJERREY DE MAR","VII",0,"fresh",2013
"RAYA VOLANTIN","VII",0,"fresh",2013
"REINETA","VII",4,"fresh",2013
"ROBALO","VII",0,"fresh",2013
"SALMON DEL ATLANTICO","VII",0,"fresh",2013
"SALMON PLATEADO","VII",0,"fresh",2013
"SALMON REY","VII",0,"fresh",2013
"SARDINA COMUN","VII",0,"fresh",2013
"SIERRA","VII",0,"fresh",2013
"TIBURON O MARRAJO","VII",0,"fresh",2013
"TOLLO","VII",0,"fresh",2013
"TRUCHA ARCO IRIS","VII",0,"fresh",2013
"TURBOT","VII",0,"fresh",2013
"ABALON JAPONES","VII",0,"fresh",2013
"ABALON ROJO","VII",0,"fresh",2013
"ALMEJA","VII",0,"fresh",2013
"CARACOL LOCATE","VII",0,"fresh",2013
"CARACOL PALO PALO","VII",0,"fresh",2013
"CHOLGA","VII",0,"fresh",2013
"CHORITO","VII",0,"fresh",2013
"CHORO","VII",0,"fresh",2013
"CULENGUE","VII",0,"fresh",2013
"HUEPO O NAVAJA DE MAR","VII",0,"fresh",2013
"JIBIA O CALAMAR ROJO","VII",0,"fresh",2013
"LAPA NEGRA","VII",0,"fresh",2013
"LOCO","VII",0,"fresh",2013
"MACHA","VII",0,"fresh",2013
"NAVAJUELA","VII",0,"fresh",2013
"OSTION DEL NORTE","VII",0,"fresh",2013
"OSTION DEL SUR","VII",0,"fresh",2013
"PULPO","VII",0,"fresh",2013
"PULPO DEL SUR","VII",0,"fresh",2013
"TAQUILLA","VII",0,"fresh",2013
"TUMBAO","VII",0,"fresh",2013
"CAMARON NAILON","VII",0,"fresh",2013
"CENTOLLA","VII",0,"fresh",2013
"JAIBA MARMOLA","VII",0,"fresh",2013
"JAIBA PELUDA O PACHONA","VII",0,"fresh",2013
"ERIZO","VII",0,"fresh",2013
"PIURE","VII",0,"fresh",2013
"COCHAYUYO","VIII",0,"fresh",2013
"ALBACORA O PEZ ESPADA","VIII",0,"fresh",2013
"ATUN OJOS GRANDES","VIII",0,"fresh",2013
"AZULEJO","VIII",0,"fresh",2013
"BACALAO DE PROFUNDIDAD","VIII",0,"fresh",2013
"BESUGO","VIII",10,"fresh",2013
"CABALLA","VIII",22,"fresh",2013
"CONGRIO COLORADO","VIII",10,"fresh",2013
"CONGRIO DORADO","VIII",0,"fresh",2013
"CONGRIO NEGRO","VIII",10,"fresh",2013
"CORVINA","VIII",47,"fresh",2013
"JUREL","VIII",1337,"fresh",2013
"MERLUZA COMUN","VIII",4784,"fresh",2013
"MERLUZA DE COLA","VIII",2315,"fresh",2013
"MERLUZA DEL SUR O AUSTRAL","VIII",34,"fresh",2013
"PEJEGALLO","VIII",0,"fresh",2013
"PEJERREY DE MAR","VIII",0,"fresh",2013
"RAYA VOLANTIN","VIII",0,"fresh",2013
"REINETA","VIII",280,"fresh",2013
"ROBALO","VIII",1,"fresh",2013
"SALMON DEL ATLANTICO","VIII",2226,"fresh",2013
"SALMON PLATEADO","VIII",0,"fresh",2013
"SALMON REY","VIII",0,"fresh",2013
"SARDINA COMUN","VIII",4,"fresh",2013
"SIERRA","VIII",0,"fresh",2013
"TIBURON O MARRAJO","VIII",0,"fresh",2013
"TOLLO","VIII",0,"fresh",2013
"TRUCHA ARCO IRIS","VIII",335,"fresh",2013
"TURBOT","VIII",0,"fresh",2013
"ABALON JAPONES","VIII",0,"fresh",2013
"ABALON ROJO","VIII",0,"fresh",2013
"ALMEJA","VIII",0,"fresh",2013
"CARACOL LOCATE","VIII",0,"fresh",2013
"CARACOL PALO PALO","VIII",0,"fresh",2013
"CHOLGA","VIII",0,"fresh",2013
"CHORITO","VIII",0,"fresh",2013
"CHORO","VIII",0,"fresh",2013
"CULENGUE","VIII",0,"fresh",2013
"HUEPO O NAVAJA DE MAR","VIII",0,"fresh",2013
"JIBIA O CALAMAR ROJO","VIII",4543,"fresh",2013
"LAPA NEGRA","VIII",5,"fresh",2013
"LOCO","VIII",22,"fresh",2013
"MACHA","VIII",0,"fresh",2013
"NAVAJUELA","VIII",46,"fresh",2013
"OSTION DEL NORTE","VIII",0,"fresh",2013
"OSTION DEL SUR","VIII",0,"fresh",2013
"PULPO","VIII",0,"fresh",2013
"PULPO DEL SUR","VIII",0,"fresh",2013
"TAQUILLA","VIII",37,"fresh",2013
"TUMBAO","VIII",0,"fresh",2013
"CAMARON NAILON","VIII",0,"fresh",2013
"CENTOLLA","VIII",0,"fresh",2013
"JAIBA MARMOLA","VIII",0,"fresh",2013
"JAIBA PELUDA O PACHONA","VIII",0,"fresh",2013
"ERIZO","VIII",0,"fresh",2013
"PIURE","VIII",0,"fresh",2013
"COCHAYUYO","IX",0,"fresh",2013
"ALBACORA O PEZ ESPADA","IX",0,"fresh",2013
