"species","region","tons","product","year","sc_name","en_name"
"REINETA","XV",0,"oil",2014,"Brama australis","Southern rays bream"
"SARDINA AUSTRAL","XV",0,"oil",2014,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","XV",0,"oil",2014,"Strangomera bentincki","Araucanian herring"
"CALAMAR","XV",0,"oil",2014,"Loligo gahi","Patagonian squid"
"JIBIA O CALAMAR ROJO","XV",0,"oil",2014,"Dosidicus gigas","Jumbo flying squid"
"LANGOSTINO COLORADO","XV",0,"oil",2014,"Pleuroncodes monodon","Red squat lobster"
"LANGOSTINO ENANO","XV",0,"oil",2014,"Pleuroncodes sp","Squat lobster"
"AGUJILLA","I",6,"oil",2014,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","I",6845,"oil",2014,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","I",0,"oil",2014,"Normanichthys crockeri","Mote sculpin"
"CABALLA","I",128,"oil",2014,"Scomber japonicus","Chub mackerel"
"JUREL","I",357,"oil",2014,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","I",0,"oil",2014,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","I",0,"oil",2014,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","I",0,"oil",2014,"Stromateus stellatus","Starry butterfish"
"PEJERREY DE MAR","I",0,"oil",2014,"Odontesthes regia","Chilean silverside"
"PESCADO NO CLASIFICADO","I",0,"oil",2014,"Pescado","Fish"
"REINETA","I",0,"oil",2014,"Brama australis","Southern rays bream"
"SARDINA AUSTRAL","I",0,"oil",2014,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","I",0,"oil",2014,"Strangomera bentincki","Araucanian herring"
"CALAMAR","I",0,"oil",2014,"Loligo gahi","Patagonian squid"
"JIBIA O CALAMAR ROJO","I",2,"oil",2014,"Dosidicus gigas","Jumbo flying squid"
"LANGOSTINO COLORADO","I",0,"oil",2014,"Pleuroncodes monodon","Red squat lobster"
"LANGOSTINO ENANO","I",3,"oil",2014,"Pleuroncodes sp","Squat lobster"
"AGUJILLA","II",0,"oil",2014,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","II",1241,"oil",2014,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","II",0,"oil",2014,"Normanichthys crockeri","Mote sculpin"
"CABALLA","II",19,"oil",2014,"Scomber japonicus","Chub mackerel"
"JUREL","II",48,"oil",2014,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","II",0,"oil",2014,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","II",0,"oil",2014,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","II",0,"oil",2014,"Stromateus stellatus","Starry butterfish"
"PEJERREY DE MAR","II",0,"oil",2014,"Odontesthes regia","Chilean silverside"
"PESCADO NO CLASIFICADO","II",2,"oil",2014,"Pescado","Fish"
"REINETA","II",0,"oil",2014,"Brama australis","Southern rays bream"
"SARDINA AUSTRAL","II",0,"oil",2014,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","II",0,"oil",2014,"Strangomera bentincki","Araucanian herring"
"CALAMAR","II",0,"oil",2014,"Loligo gahi","Patagonian squid"
"JIBIA O CALAMAR ROJO","II",0,"oil",2014,"Dosidicus gigas","Jumbo flying squid"
"LANGOSTINO COLORADO","II",0,"oil",2014,"Pleuroncodes monodon","Red squat lobster"
"LANGOSTINO ENANO","II",0,"oil",2014,"Pleuroncodes sp","Squat lobster"
"AGUJILLA","III",0,"oil",2014,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","III",59,"oil",2014,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","III",6,"oil",2014,"Normanichthys crockeri","Mote sculpin"
"CABALLA","III",51,"oil",2014,"Scomber japonicus","Chub mackerel"
"JUREL","III",74,"oil",2014,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","III",0,"oil",2014,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","III",0,"oil",2014,"Macruronus magellanicus","Patagonian grenadier"
