"species","region","tons","product","year","sc_name","en_name"
"PELILLO","VII",0,"dry algae",2014,"Gracilaria spp.","Red algae gracilaria"
"CHASCA","VIII",2,"dry algae",2014,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","VIII",225,"dry algae",2014,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","VIII",385,"dry algae",2014,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","VIII",1846,"dry algae",2014,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","VIII",0,"dry algae",2014,"Haematococcus pluvialis","Haematococcus"
"HUIRO","VIII",54,"dry algae",2014,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","VIII",119,"dry algae",2014,"Lessonia trabeculata","Giant brown kelp"
"LUGA CUCHARA O CORTA","VIII",670,"dry algae",2014,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","VIII",4654,"dry algae",2014,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","VIII",1081,"dry algae",2014,"Gigartina skottsbergii","Red luga"
"PELILLO","VIII",332,"dry algae",2014,"Gracilaria spp.","Red algae gracilaria"
"CHASCA","IX",0,"dry algae",2014,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","IX",0,"dry algae",2014,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","IX",0,"dry algae",2014,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","IX",0,"dry algae",2014,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","IX",0,"dry algae",2014,"Haematococcus pluvialis","Haematococcus"
"HUIRO","IX",0,"dry algae",2014,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","IX",0,"dry algae",2014,"Lessonia trabeculata","Giant brown kelp"
"LUGA CUCHARA O CORTA","IX",0,"dry algae",2014,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","IX",0,"dry algae",2014,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","IX",0,"dry algae",2014,"Gigartina skottsbergii","Red luga"
"PELILLO","IX",0,"dry algae",2014,"Gracilaria spp.","Red algae gracilaria"
