"year","region","especie_SERNAPESCA","nombre_cientifico_SERNAPESCA","tons"
2013,11,"JAIBA REINA","Cancer coronatus",79.83214
2013,11,"JAIBA REMADORA","Ovalipes trimaculatus",79.83214
2013,11,"MERLUZA COMUN","Merluccius gayi gayi",87.85917
2013,11,"MERLUZA DEL ATLANTICO","Merluccius hubbsi",434.14177
2013,11,"MERLUZA DEL SUR O AUSTRAL","Merluccius australis",4800.49202
2013,11,"REINETA","Brama australis",94.058
2013,11,"SALMON REY","Oncorhynchus tshawytscha",13895.92935
2013,11,"TRUCHA ARCOIRIS","Oncorhynchus mykiss",3381.35966
2013,12,"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius",4.30694
2013,12,"BACALAO ANTARTICO","Dissostichus mawsoni",13.83588
2013,12,"BACALAO DE PROFUNDIDAD","Dissostichus eleginoides",1627.62928
2013,12,"BROTULA","Salilota australis",229.1811
2013,12,"CENTOLLA","Lithodes santolla",2895.7031
2013,12,"CENTOLLON","Paralomis granulosa",467.3396
2013,12,"CENTOLLON DEL NORTE","NA",4.87962
2013,12,"CHOLGA","Aulacomya ater",2.233
2013,12,"CHORO","Choromytilus chorus",2.233
2013,12,"COJINOBA DEL NORTE / PIAFRI","Seriolella violacea",1234.57051
2013,12,"COJINOBA DEL SUR O AZUL","Seriolella caerulea",1234.57051
2013,12,"COJINOBA MOTEADA","Seriolella punctata",1234.57051
2013,12,"CONGRIO COLORADO","Genypterus chilensis",11.69706
2013,12,"CONGRIO DORADO","Genypterus blacodes",390.56408
2013,12,"CONGRIO NEGRO","Genypterus maculatus",11.69706
2013,12,"DRACO RAYADO","Champsocephalus gunnari",247.10344
2013,12,"ERIZO","Loxechinus albus",81.4356
2013,12,"HUEPO O NAVAJA DE MAR","Ensis macha",55.88882
2013,12,"JAIBA","Cancer spp.",113.9659
2013,12,"JAIBA LIMON","Cancer porteri",113.9659
2013,12,"JAIBA MARMOLA","Cancer edwardsi",113.9659
2013,12,"JAIBA MORA","Homalaspis plana",113.9659
2013,12,"JAIBA PANCHOTE O CANGREJO","Taliepus dentatus",113.9659
2013,12,"JAIBA PELUDA O PACHONA","Cancer setosus",113.9659
2013,12,"JAIBA REINA","Cancer coronatus",113.9659
2013,12,"JAIBA REMADORA","Ovalipes trimaculatus",113.9659
2013,12,"MERLUZA COMUN","Merluccius gayi gayi",6.16981
2013,12,"MERLUZA DE TRES ALETAS","Micromesistius australis",2716.882
2013,12,"MERLUZA DEL ATLANTICO","Merluccius hubbsi",1983.83023
2013,12,"MERLUZA DEL SUR O AUSTRAL","Merluccius australis",3381.1828
2013,12,"OSTION DEL NORTE","Argopecten purpuratus",38.47311
2013,12,"OSTION PATAGONICO","Chlamys patagonica",38.47311
2013,12,"REINETA","Brama australis",21.84898
2013,12,"SALMON REY","Oncorhynchus tshawytscha",309.67773
2013,12,"TRUCHA ARCOIRIS","Oncorhynchus mykiss",2662.57274
2013,13,"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius",80.18774
2013,13,"ALGAS MIXTAS",NA,1.024
2013,13,"ALMEJA","Venus antiqua",64.53132
2013,13,"ALMEJA O TACA","Protothaca taca",64.53132
2013,13,"ANGUILA","Ophichthus spp.",0.195
2013,13,"ATUN ALETA AMARILLA / KAHI AVE AVE","Thunnus albacares",9.56259
2013,13,"ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","Katsuwonus pelamis",0.26
2013,13,"BACALAO ANTARTICO","Dissostichus mawsoni",0.06444
2013,13,"BACALAO DE PROFUNDIDAD","Dissostichus eleginoides",28.82493
2013,13,"CAMARON NAILON","Heterocarpus reedi",52.9025
2013,13,"CAMARON NAVAJA","Campylonotus semistriatus",14.5745
2013,13,"CAROLA","Callophyllis variegata",1.024
2013,13,"CENTOLLA","Lithodes santolla",31.5051
2013,13,"CENTOLLON DEL NORTE","NA",11.92865
2013,13,"CHASCON O HUIRO NEGRO","Lessonia nigrescens",269.666
2013,13,"CHICOREA DE MAR","Chondracanthus chamissoi",1.3595
2013,13,"CHOLGA","Aulacomya ater",691.71853
2013,13,"CHORITO","Mytilus chilensis",7.4577
2013,13,"CHORO","Choromytilus chorus",691.71853
2013,13,"COCHAYUYO","Durvillaea antarctica",0.5
2013,13,"CONGRIO COLORADO","Genypterus chilensis",5.148
2013,13,"CONGRIO NEGRO","Genypterus maculatus",5.148
2013,13,"ERIZO","Loxechinus albus",29.461
2013,13,"HUEPO O NAVAJA DE MAR","Ensis macha",6.7154
2013,13,"JUREL","Trachurus murphyi",121.44
2013,13,"LOCO","Concholepas concholepas",3.525
2013,13,"MACHA","Mesodesma donacium",13.67406
2013,13,"MERLUZA DEL SUR O AUSTRAL","Merluccius australis",2.958
2013,13,"NAVAJUELA","Tagelus dombeii",40.13394
2013,13,"OSTION DEL NORTE","Argopecten purpuratus",3.25024
2013,13,"OSTION PATAGONICO","Chlamys patagonica",3.25024
2013,13,"PEPINO DE MAR","Athyonidium chilensis",0.04
2013,13,"SALMON REY","Oncorhynchus tshawytscha",43.4438
2013,13,"TRUCHA ARCOIRIS","Oncorhynchus mykiss",46.581
2013,14,"CENTOLLA","Lithodes santolla",11.73319
2013,14,"COCHAYUYO","Durvillaea antarctica",8.0785
2013,14,"SALMON REY","Oncorhynchus tshawytscha",14.685
2013,14,"TRUCHA ARCOIRIS","Oncorhynchus mykiss",446.0987
2013,15,"ANCHOVETA","Engraulis ringens",72.95399
2013,15,"CORVINA","Cilus gilberti",47.947
2013,15,"ERIZO","Loxechinus albus",4.4715
2013,15,"JUREL","Trachurus murphyi",23.1
2013,20,"ANCHOVETA","Engraulis ringens",23.14268
2013,20,"BAGRE","Ameiurus melas",52.5
2013,20,"CHOLGA","Aulacomya ater",62
2013,20,"CHORO","Choromytilus chorus",62
2013,20,"DORADO DE ALTURA / MAHI MAHI","Coryphaena hippurus",18.6004
2013,20,"JUREL","Trachurus murphyi",43.128
2013,20,"SARDINA AUSTRAL","Sprattus fuegensis",5.39932
2013,20,"SARDINA COMUN","Strangomera bentincki",5.39932
2013,NA,"ABALON JAPONES","Haliotis discus hannai",0.04
2013,NA,"ALGAS MIXTAS",NA,0.033
2013,NA,"ANGUILA","Ophichthus spp.",0.058
2013,NA,"ATUN ALETA LARGA","Thunnus albacares",0.055
2013,NA,"BACALAO DE PROFUNDIDAD","Dissostichus eleginoides",0.012
2013,NA,"BAGRE","Ameiurus melas",0.02
2013,NA,"CAROLA","Callophyllis variegata",0.033
2013,NA,"CENTOLLA","Lithodes santolla",0.776
2013,NA,"CENTOLLON","Paralomis granulosa",0.031
2013,NA,"CHICOREA DE MAR","Chondracanthus chamissoi",0.001
2013,NA,"CHOLGA","Aulacomya ater",0.203
2013,NA,"CHORITO","Mytilus chilensis",0.103
2013,NA,"CHORO","Choromytilus chorus",0.203
2013,NA,"COCHAYUYO","Durvillaea antarctica",0.474
2013,NA,"ERIZO","Loxechinus albus",0.015
2013,NA,"GRANADERO GRANDE","Macrourus holotrachys",0.048
2013,NA,"JAIBA","Cancer spp.",0.025
2013,NA,"JAIBA LIMON","Cancer porteri",0.025
2013,NA,"JAIBA MARMOLA","Cancer edwardsi",0.025
2013,NA,"JAIBA MORA","Homalaspis plana",0.025
2013,NA,"JAIBA PANCHOTE O CANGREJO","Taliepus dentatus",0.025
2013,NA,"JAIBA PELUDA O PACHONA","Cancer setosus",0.025
2013,NA,"JAIBA REINA","Cancer coronatus",0.025
2013,NA,"JAIBA REMADORA","Ovalipes trimaculatus",0.025
2013,NA,"JUREL","Trachurus murphyi",0.258
2013,NA,"LANGOSTA DE J.FERNANDEZ","Jasus frontalis",0.02
2013,NA,"MERLUZA COMUN","Merluccius gayi gayi",0.0993
2013,NA,"MERLUZA DEL SUR O AUSTRAL","Merluccius australis",0.091
2013,NA,"OSTION DEL NORTE","Argopecten purpuratus",0.04
2013,NA,"PEJERRATA","Coelorhynchus chilensis",0.048
2013,NA,"PEJERRATA O GRANADERO ESCAMOSO","Macrourus carinatus.",0.048
2013,NA,"PEJERREY DE MAR","Odontesthes regia",0.028
2013,NA,"PEPINO DE MAR","Athyonidium chilensis",0.042
2013,NA,"SALMON REY","Oncorhynchus tshawytscha",0.39
2013,NA,"SARDINA AUSTRAL","Sprattus fuegensis",0.251
2013,NA,"SARDINA COMUN","Strangomera bentincki",0.251
2013,NA,"TRUCHA ARCOIRIS","Oncorhynchus mykiss",0.402
2014,0,"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius",0.0213
2014,0,"ALGAS MIXTAS",NA,1.48753
2014,0,"ALMEJA","Venus antiqua",0.003
2014,0,"ALMEJA O TACA","Protothaca taca",0.003
2014,0,"CAMARON NAILON","Heterocarpus reedi",0.02
2014,0,"CARACOL LOCATE","Thais chocolata",0.035
2014,0,"CARACOL PALO PALO","Argobuccinum spp.",0.05084
2014,0,"CAROLA","Callophyllis variegata",1.48753
2014,0,"CENTOLLA","Lithodes santolla",0.07903
2014,0,"CENTOLLON DEL NORTE","NA",0.0259
2014,0,"CHOLGA","Aulacomya ater",0.5955
2014,0,"CHORITO","Mytilus chilensis",0.14
2014,0,"CHORO","Choromytilus chorus",0.5955
2014,0,"COCHAYUYO","Durvillaea antarctica",0.03
2014,0,"ERIZO","Loxechinus albus",0.16045
2014,0,"HUEPO O NAVAJA DE MAR","Ensis macha",0.01029
2014,0,"HUIRO","Macrocystis spp.",0.10021
