chl_name,sc_name,en_name,group,en_group,trade_name
COJINOBA DEL NORTE / PIAFRI,Seriolella violacea,Palm ruff,pescado_otros,Fish,Warehou
COJINOBA DEL SUR O AZUL,Seriolella caerulea,White warehou,pescado_otros,Fish,Warehou
DORADO DE ALTURA / MAHI MAHI,Coryphaena hippurus,Common dolphinfish,pescado_otros,Fish,Mahi Mahi
DORADO,Coryphaena hippurus,Common dolphinfish,pescado_otros,Fish,Mahi Mahi
EMPERADOR,Luvarus imperialis,Luvar,pescado_otros,Fish,Luvar
GRANADERO GRANDE,Macrourus holotrachys,Bigeye grenadier,pescado_otros,Fish,Bigeye grenadier
JAIBA PACO,Mursia gaudichaudi,Paco crab,crustaceos_otros,Crustaceans,Crabs
JAIBA PANCORA,Hemigrapsus crenulatus,Hairy-handed crab,Crustaceos_otros,Crustaceans,Crabs
JUREL DE JUAN FERNANDEZ,Caranx georgianus,White trevally,jurel,Jack mackerel,Jack mackerel
KRILL,Euphasia superba,Antarctic krill,crustaceos_otros,Crustaceans,Krill
LANGOSTINO DE LOS CANALES,Munida subrugosa,Channel squat lobster,langostinos_otros,Langostinos,Langostinos
LAPA,Fissurella spp.,Keyhole limpet,moluscos_otros,Mollusks,Limpet
LENGUADO,Paralichthys spp.,Large-tooth flounders,pescado_otros,Fish,Flounders
LENGUADO DE OJOS CHICOS,Paralichthys microps,Small-eye flounder,pescado_otros,Fish,Flounders
MARLIN RAYADO,Tetrapturus audax,Striped marlin,pescado_otros,Fish,Marlin
MORENA DE ALETA BAJA / KOREHA HA OKO,Gymnothorax porphyreus,Lowfin moray,anguila,Eel,Eel
PAMPANITO DE JUAN FERNANDEZ,Scorpis chilensis,Pampanito,pescado_otros,Fish,Pampanito
PEJE GATO HOCICON,Apristurus nasutus,Largenose catshark,pescado_otros,Fish,Largenose catshark
PICHIBUENO,Menticirrhus ophicephalus,Snakehead kingcroaker,pescado_otros,Fish,Snakehead kingcroaker
PULGA SALTARINA O GAMBITA,Gammarus sp,Grammarus,crustaceos_otros,Crustaceans,Grammarus
PULPO DEL NORTE,Octopus (vulgaris) mimus,Changos octopus,pulpo,Octopus,Octopus
SALMON REY,Oncorhynchus tshawytscha,Chinook salmon,salmon,Salmon,Salmon
