"species","region","tons","product","year"
"PAMPANITO","IV",0,"oil",2016
"SARDINA AUSTRAL","IV",0,"oil",2016
"SARDINA COMUN","IV",0,"oil",2016
"SARDINA ESPANOLA","IV",0,"oil",2016
"JIBIA O CALAMAR ROJO","IV",0,"oil",2016
"AGUJILLA","V",0,"oil",2016
"ANCHOVETA","V",0,"oil",2016
"BACALADILLO O MOTE","V",0,"oil",2016
"CABALLA","V",0,"oil",2016
"JUREL","V",0,"oil",2016
"MACHUELO O TRITRE","V",0,"oil",2016
"MERLUZA COMUN","V",0,"oil",2016
"PAMPANITO","V",0,"oil",2016
"SARDINA AUSTRAL","V",0,"oil",2016
"SARDINA COMUN","V",0,"oil",2016
"SARDINA ESPANOLA","V",0,"oil",2016
"JIBIA O CALAMAR ROJO","V",0,"oil",2016
"AGUJILLA","VI",0,"oil",2016
"ANCHOVETA","VI",0,"oil",2016
"BACALADILLO O MOTE","VI",0,"oil",2016
"CABALLA","VI",0,"oil",2016
"JUREL","VI",0,"oil",2016
"MACHUELO O TRITRE","VI",0,"oil",2016
"MERLUZA COMUN","VI",0,"oil",2016
"PAMPANITO","VI",0,"oil",2016
"SARDINA AUSTRAL","VI",0,"oil",2016
"SARDINA COMUN","VI",0,"oil",2016
"SARDINA ESPANOLA","VI",0,"oil",2016
"JIBIA O CALAMAR ROJO","VI",0,"oil",2016
"AGUJILLA","VII",0,"oil",2016
"ANCHOVETA","VII",0,"oil",2016
"BACALADILLO O MOTE","VII",0,"oil",2016
"CABALLA","VII",0,"oil",2016
"JUREL","VII",0,"oil",2016
"MACHUELO O TRITRE","VII",0,"oil",2016
"MERLUZA COMUN","VII",0,"oil",2016
"PAMPANITO","VII",0,"oil",2016
"SARDINA AUSTRAL","VII",0,"oil",2016
"SARDINA COMUN","VII",0,"oil",2016
"SARDINA ESPANOLA","VII",0,"oil",2016
"JIBIA O CALAMAR ROJO","VII",0,"oil",2016
"AGUJILLA","VIII",0,"oil",2016
"ANCHOVETA","VIII",0,"oil",2016
"BACALADILLO O MOTE","VIII",0,"oil",2016
"CABALLA","VIII",0,"oil",2016
"JUREL","VIII",0,"oil",2016
"MACHUELO O TRITRE","VIII",0,"oil",2016
"MERLUZA COMUN","VIII",0,"oil",2016
"PAMPANITO","VIII",0,"oil",2016
"SARDINA AUSTRAL","VIII",0,"oil",2016
