"","subsector","species","region","international_waters","tons"
"327","artisanal","BARRACUDA O PETO / KANA KANA","II",0,NA
"328","artisanal","BARRACUDA O PETO / KANA KANA","III",0,NA
"329","artisanal","BARRACUDA O PETO / KANA KANA","IV",0,NA
"330","artisanal","BARRACUDA O PETO / KANA KANA","IX",0,NA
"331","artisanal","BARRACUDA O PETO / KANA KANA","V",0,1
"332","artisanal","BARRACUDA O PETO / KANA KANA","VI",0,NA
"333","artisanal","BARRACUDA O PETO / KANA KANA","VII",0,NA
"334","artisanal","BARRACUDA O PETO / KANA KANA","VIII",0,NA
"335","artisanal","BARRACUDA O PETO / KANA KANA","X",0,NA
"336","artisanal","BARRACUDA O PETO / KANA KANA","XI",0,NA
"337","artisanal","BARRACUDA O PETO / KANA KANA","XII",0,NA
"338","artisanal","BARRACUDA O PETO / KANA KANA","XIV",0,NA
"339","artisanal","BARRACUDA O PETO / KANA KANA","XV",0,NA
"340","artisanal","BESUGO","I",0,NA
"341","artisanal","BESUGO","II",0,NA
"342","artisanal","BESUGO","III",0,NA
"343","artisanal","BESUGO","IV",0,NA
"344","artisanal","BESUGO","IX",0,NA
"345","artisanal","BESUGO","V",0,NA
"346","artisanal","BESUGO","VI",0,NA
"347","artisanal","BESUGO","VII",0,1
"348","artisanal","BESUGO","VIII",0,NA
"349","artisanal","BESUGO","X",0,NA
"350","artisanal","BESUGO","XI",0,NA
"351","artisanal","BESUGO","XII",0,NA
"352","artisanal","BESUGO","XIV",0,NA
"353","artisanal","BESUGO","XV",0,NA
"354","artisanal","BLANQUILLO","I",0,NA
"355","artisanal","BLANQUILLO","II",0,4
"356","artisanal","BLANQUILLO","III",0,NA
"357","artisanal","BLANQUILLO","IV",0,2.5
"358","artisanal","BLANQUILLO","IX",0,NA
"359","artisanal","BLANQUILLO","V",0,2
"360","artisanal","BLANQUILLO","VI",0,2
"361","artisanal","BLANQUILLO","VII",0,15
"362","artisanal","BLANQUILLO","VIII",0,9.75
"363","artisanal","BLANQUILLO","X",0,NA
"364","artisanal","BLANQUILLO","XI",0,NA
"365","artisanal","BLANQUILLO","XII",0,NA
"366","artisanal","BLANQUILLO","XIV",0,NA
"367","artisanal","BLANQUILLO","XV",0,NA
"368","artisanal","BONITO","I",0,9.66666666666667
"369","artisanal","BONITO","II",0,30
"370","artisanal","BONITO","III",0,2
"371","artisanal","BONITO","IV",0,1
"372","artisanal","BONITO","IX",0,7
"373","artisanal","BONITO","V",0,1
"374","artisanal","BONITO","VI",0,NA
"375","artisanal","BONITO","VII",0,4
"376","artisanal","BONITO","VIII",0,2.5
"377","artisanal","BONITO","X",0,NA
"378","artisanal","BONITO","XI",0,NA
"379","artisanal","BONITO","XII",0,NA
"380","artisanal","BONITO","XIV",0,NA
"381","artisanal","BONITO","XV",0,26
"382","artisanal","BRECA DE JUAN FERNANDEZ","I",0,NA
"383","artisanal","BRECA DE JUAN FERNANDEZ","II",0,NA
"384","artisanal","BRECA DE JUAN FERNANDEZ","III",0,NA
"385","artisanal","BRECA DE JUAN FERNANDEZ","IV",0,NA
"386","artisanal","BRECA DE JUAN FERNANDEZ","IX",0,NA
"387","artisanal","BRECA DE JUAN FERNANDEZ","V",0,36
"388","artisanal","BRECA DE JUAN FERNANDEZ","VI",0,NA
"389","artisanal","BRECA DE JUAN FERNANDEZ","VII",0,NA
"390","artisanal","BRECA DE JUAN FERNANDEZ","VIII",0,NA
"391","artisanal","BRECA DE JUAN FERNANDEZ","X",0,NA
"392","artisanal","BRECA DE JUAN FERNANDEZ","XI",0,NA
"393","artisanal","BRECA DE JUAN FERNANDEZ","XII",0,NA
"394","artisanal","BRECA DE JUAN FERNANDEZ","XIV",0,NA
"395","artisanal","BRECA DE JUAN FERNANDEZ","XV",0,NA
"396","artisanal","BRECA O BILAGAY","I",0,1
"397","artisanal","BRECA O BILAGAY","II",0,3.75
"398","artisanal","BRECA O BILAGAY","III",0,6
"399","artisanal","BRECA O BILAGAY","IV",0,NA
"400","artisanal","BRECA O BILAGAY","IX",0,NA
"401","artisanal","BRECA O BILAGAY","V",0,83.75
"402","artisanal","BRECA O BILAGAY","VI",0,NA
"403","artisanal","BRECA O BILAGAY","VII",0,NA
"404","artisanal","BRECA O BILAGAY","VIII",0,NA
"405","artisanal","BRECA O BILAGAY","X",0,NA
"406","artisanal","BRECA O BILAGAY","XI",0,NA
"407","artisanal","BRECA O BILAGAY","XII",0,NA
"408","artisanal","BRECA O BILAGAY","XIV",0,NA
"409","artisanal","BRECA O BILAGAY","XV",0,1
"410","artisanal","BROTULA","I",0,NA
"411","artisanal","BROTULA","II",0,NA
"412","artisanal","BROTULA","III",0,NA
"413","artisanal","BROTULA","IV",0,NA
"414","artisanal","BROTULA","IX",0,NA
"415","artisanal","BROTULA","V",0,NA
"416","artisanal","BROTULA","VI",0,NA
"417","artisanal","BROTULA","VII",0,NA
"418","artisanal","BROTULA","VIII",0,NA
"419","artisanal","BROTULA","X",0,NA
"420","artisanal","BROTULA","XI",0,NA
"421","artisanal","BROTULA","XII",0,2
"422","artisanal","BROTULA","XIV",0,NA
"423","artisanal","BROTULA","XV",0,NA
"424","artisanal","CABALLA","I",0,204.333333333333
"425","artisanal","CABALLA","II",0,678.25
"426","artisanal","CABALLA","III",0,16936.75
"427","artisanal","CABALLA","IV",0,3624.5
"428","artisanal","CABALLA","IX",0,NA
"429","artisanal","CABALLA","V",0,13.6666666666667
"430","artisanal","CABALLA","VI",0,1
"431","artisanal","CABALLA","VII",0,NA
"432","artisanal","CABALLA","VIII",0,29.25
"433","artisanal","CABALLA","X",0,NA
"434","artisanal","CABALLA","XI",0,NA
"435","artisanal","CABALLA","XII",0,NA
"436","artisanal","CABALLA","XIV",0,NA
"437","artisanal","CABALLA","XV",0,14.75
"438","artisanal","CABINZA","I",0,3
"439","artisanal","CABINZA","II",0,8
"440","artisanal","CABINZA","III",0,21
"441","artisanal","CABINZA","IV",0,14
"442","artisanal","CABINZA","IX",0,NA
"443","artisanal","CABINZA","V",0,3
"444","artisanal","CABINZA","VI",0,NA
"445","artisanal","CABINZA","VII",0,4.25
"446","artisanal","CABINZA","VIII",0,2
"447","artisanal","CABINZA","X",0,NA
"448","artisanal","CABINZA","XI",0,NA
"449","artisanal","CABINZA","XII",0,NA
