"year","trade_name","landing_aqua","NHC","export","import","mean_yield","HC"
2017,"Mackerel icefish",0,0,0,0,0.55,0
2017,"Mahi Mahi",0,0,0,0,0.6,0
2017,"Marlin",11,0,0,0,0.4875,5.3625
2017,"Mote sculpin",61192,60863,0,0,0.5,164.5
2017,"Mussels",353022,0,86025.11434,421.2252,0.175,-23825.03914
2017,"Navaja de mar",2040,0,770.30243,0,0.225,-311.30243
2017,"Navajuela",5983,0,1845.76643,0,0.225,-499.59143
2017,"Navodon",0,0,0,0,0.5,0
2017,"Octopus",3602,0,2012.08005,0.059,0.725,599.42895
2017,"Orange roughy",0,0,0,0,0.5,0
2017,"Other crustaceans",27,0,0,28.98,0.2,34.38
2017,"Other fish",2933,0,103.57505,1295.24493,0.5,2658.16988
2017,"Other mollusks",1186,0,0,42.50229,0.225,309.35229
2017,"Oyster",597,0,2.133,0,0.125,72.492
2017,"Pacific chub",1,0,0,0,0.5,0.5
2017,"Pacific menhaden",29954,30005,0,0,0.55,-28.05
2017,"Pacific sandperch",28,0,0,0,0.5,14
2017,"Patagonian blennie",254,0,0,0,0.5,127
2017,"Patagonian toothfish",6117,0,2667.92441,0,0.424,-74.3164100000004
2017,"Pejesapo",0,0,0,0,0.5,0
2017,"Peruvian anchoveta",625697,623243,0,0,0.55,1349.7
2017,"Peruvian banded croaker",0,0,0,0,0.525,0
2017,"Peruvian grunt",6,0,0,0,0.525,3.15
2017,"Peruvian morwong",87,0,0,0,0.5,43.5
2017,"Peruvian rock seabass",86,5,0,0,0.525,42.525
2017,"Peruvian weakfish",0,0,0,0,0.6,0
2017,"Prawns",59,0,0,0,0.2,11.8
2017,"Rainbow runner",0,0,0,0,0.5,0
2017,"Rays",31,0,32.3119,0,0.5,-16.8119
2017,"Rockfish helicolenus",43,0,0,0,0.5,21.5
2017,"Salmon",778366,0,534205.35988,42.05624,0.5,-144980.30364
2017,"Sardines",364068,357152,3.09644,375.87585,0.5,3830.77941
2017,"Scallop",5701,0,1048.36774,0.1918,0.15,-193.02594
2017,"Sea Chab",0,0,0,0,0.5,0
2017,"Sea bream",0,0,0,0,0.5,0
2017,"Sea cucumber",436,0,105.45073,0,1,330.54927
2017,"Sea urchin",30107,0,2966.38783,0,0.075,-708.36283
2017,"Shark",363,0,0,0,0.5525,200.5575
2017,"Sheephead",0,0,0,0,0.5,0
2017,"Shrimp",4640,0,584.88906,3557.95664,0.2,3901.06758
2017,"Skipjack tuna",114,19,0.7278,1885.1999,0.5375,1935.5346
2017,"Snails",793,0,76.31395,37.59738,0.2,119.88343
2017,"Southern rays bream",25267,0,738.52976,0,0.5,11894.97024
2017,"Splendid alfonsino",0,0,0,0,0.5,0
2017,"Squid",152546,88,69326.15251,0,0.785,50353.37749
2017,"Starry butterfish",23034,23050,0,0,0.5,-8
2017,"Swordfish",5510,0,3296.3279,0,0.425,-954.5779
2017,"Tadpole codling",348,0,231.16535,0,0.5,-57.16535
2017,"Trout",76960,0,46894.52155,0.001,0.5,-8414.52055
2017,"Tuna",80,0,24.1595,32424.03017,0.475,32437.87067
2017,"Turbot",5,0,0,0,0.5,2.5
2017,"Vieja",6,0,0,0,0.55,3.3
2017,"Warehou",3562,0,2544.003,0,0.6,-406.803
2017,"Yellowtail amberjack",567,0,0,0,0.551666666666667,312.795
2017,NA,0,0,0,0,0,0
2013,"Black bullhead",0,0,52.5,0,0.5,-52.5
2014,"Herring",0,0,239.25,23.5164,0.5,-215.7336
2015,"Black bullhead",0,0,26.4,0,0.5,-26.4
2015,"Herring",0,0,129.1,9.98096,0.5,-119.11904
2016,"Herring",0,0,87,13.3226,0.5,-73.6774
2017,"Herring",0,0,87,8.77321,0.5,-78.22679
2013,"Herring",0,0,0,15.42415,0.5,15.42415
2013,"Other decapods",0,0,0,0.54432,0,0.54432
2013,"Other invertebrates",0,0,0,19.38799,0,19.38799
2014,"Other decapods",0,0,0,1.12946,0,1.12946
2014,"Other invertebrates",0,0,0,18.94453,0,18.94453
2015,"Other decapods",0,0,0,0.49778,0,0.49778
2015,"Other invertebrates",0,0,0,21.84086,0,21.84086
