"year","region","sc_name","total_NHC"
2014,"XII","Trachurus murphyi",0
2014,"XIV","Brama australis",0
2014,"XIV","Cilus gilberti",0
2014,"XIV","Dosidicus gigas",0
2014,"XIV","Engraulis ringens",1054
2014,"XIV","Ethmidium maculatum",0
2014,"XIV","Isacia conceptionis",0
2014,"XIV","Loligo gahi",0
2014,"XIV","Macruronus magellanicus",0
2014,"XIV","Normanichthys crockeri",4420
2014,"XIV","Odontesthes regia",1
2014,"XIV","Pescado",0
2014,"XIV","Pleuroncodes monodon",0
2014,"XIV","Pleuroncodes sp",0
2014,"XIV","Sardinops sagax",0
2014,"XIV","Sciaena deliciosa",0
2014,"XIV","Scomber japonicus",0
2014,"XIV","Scomberesox saurus scombroides",0
2014,"XIV","Seriolella caerulea",0
2014,"XIV","Sprattus fuegensis",0
2014,"XIV","Strangomera bentincki",85305
2014,"XIV","Stromateus stellatus",53
2014,"XIV","Thyrsites atun",0
2014,"XIV","Trachurus murphyi",0
2014,"XV","Brama australis",0
2014,"XV","Cilus gilberti",0
2014,"XV","Dosidicus gigas",5
2014,"XV","Engraulis ringens",257592
2014,"XV","Ethmidium maculatum",1108
2014,"XV","Isacia conceptionis",4
2014,"XV","Loligo gahi",0
2014,"XV","Macruronus magellanicus",0
2014,"XV","Normanichthys crockeri",2
2014,"XV","Odontesthes regia",1
2014,"XV","Pescado",2
2014,"XV","Pleuroncodes monodon",0
2014,"XV","Pleuroncodes sp",31
2014,"XV","Sardinops sagax",0
2014,"XV","Sciaena deliciosa",59
2014,"XV","Scomber japonicus",351
2014,"XV","Scomberesox saurus scombroides",3
2014,"XV","Seriolella caerulea",0
2014,"XV","Sprattus fuegensis",0
2014,"XV","Strangomera bentincki",0
2014,"XV","Stromateus stellatus",2
2014,"XV","Thyrsites atun",0
2014,"XV","Trachurus murphyi",1217
2015,"I","Dosidicus gigas",44
2015,"I","Engraulis ringens",255553
2015,"I","Ethmidium maculatum",0
2015,"I","Isacia conceptionis",3
