PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AÑO,MES,REGIÓN,Código Caleta,Nom_caleta,Código especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,,,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,,,
2009,1,XIV,412,NIEBLA,242,Merluza común,"1,500,000",,0.25,B,,PP,,,
2009,1,XIV,412,NIEBLA,270,Róbalo,"1,000,000",,0.10,B,,PP,,,
2009,1,XIV,412,NIEBLA,406,Almeja o taca,"300,000",,0.10,B,BN,PP,,,
2009,1,XIV,412,NIEBLA,430,Chorito,"250,000",,0.30,B,BN,PP,,,
2009,1,XIV,412,NIEBLA,435,Choro,"300,000",,0.20,B,BN,PP,,,
2009,1,XIV,412,NIEBLA,465,Navajuela,"450,000",,0.04,B,BN,PP,,,
2009,1,XIV,410,LOS MOLINOS,228,Congrio dorado,"1,200,000",,0.15,O,,CHD,,,
2009,1,XIV,410,LOS MOLINOS,230,Corvina,"1,000,000",,0.60,O,,CHD,,,
2009,1,XIV,410,LOS MOLINOS,406,Almeja o taca,"400,000",,1.70,O,BN,CHD,,,
2009,1,XIV,410,LOS MOLINOS,430,Chorito,"250,000",,2.00,O,BN,CHD,,,
2009,1,XIV,410,LOS MOLINOS,435,Choro,"150,000",,1.50,O,BN,CHD,,,
2009,1,XIV,410,LOS MOLINOS,465,Navajuela,"350,000",,0.50,O,BN,CHD,,,
2009,1,XIV,410,LOS MOLINOS,227,Congrio colorado,"1,500,000",,0.35,O,,CHD,,,
2009,1,XIV,410,LOS MOLINOS,242,Merluza común,"1,000,000",,0.20,O,,CHD,,,
2009,1,XIV,410,LOS MOLINOS,270,Róbalo,"600,000",,0.15,O,,CHD,,,
2009,1,XIV,410,LOS MOLINOS,406,Almeja o taca,"450,000",,0.10,O,BN,CHD,,,
2009,1,XIV,410,LOS MOLINOS,430,Chorito,"250,000",,0.35,O,BN,CHD,,,
2009,1,XIV,410,LOS MOLINOS,435,Choro,"300,000",,0.30,O,BN,CHD,,,
2009,1,X,494,QUELLÓN,406,Almeja o taca,"170,000",,4.20,O,BN,CHD,,,
2009,1,X,494,QUELLÓN,258,Pejegallo,"750,000",,0.40,O,,CHD,,,
2009,1,X,494,QUELLÓN,406,Almeja o taca,"200,000",,4.50,O,BN,CHD,,,
2009,1,X,494,QUELLÓN,654,Jaiba marmola,"180,000",,4.60,O,,PP,,,
2009,1,X,494,QUELLÓN,258,Pejegallo,"850,000",,0.45,O,,CHD,,,
2009,1,X,494,QUELLÓN,230,Corvina,"1,200,000",,0.85,O,,CHD,,,
2009,1,X,474,DALCAHUE,258,Pejegallo,"600,000",,0.60,L,,CHD,,,
2009,1,X,474,DALCAHUE,654,Jaiba marmola,"95,000",,8.17,L,,PP,,,
2009,1,X,474,DALCAHUE,654,Jaiba marmola,"95,000",,10.99,L,,PP,,,
2009,1,X,474,DALCAHUE,258,Pejegallo,"200,000",,1.00,L,,CHD,,,
2009,1,X,474,DALCAHUE,258,Pejegallo,"200,000",,1.80,L,,CHD,,,
2009,1,X,474,DALCAHUE,258,Pejegallo,"200,000",,2.90,L,,CHD,,,
2009,1,X,474,DALCAHUE,268,Raya volantín,"1,200,000",,2.78,L,,PP,,,
2009,1,X,474,DALCAHUE,258,Pejegallo,"600,000",,0.30,L,,CHD,,,
2009,1,X,474,DALCAHUE,258,Pejegallo,"400,000",,3.10,L,,CHD,,,
2009,1,X,474,DALCAHUE,258,Pejegallo,"200,000",,1.30,L,,CHD,,,
2009,1,X,474,DALCAHUE,258,Pejegallo,"300,000",,0.60,L,,CHD,,,
2009,1,X,474,DALCAHUE,258,Pejegallo,"300,000",,0.60,L,,CHD,,,
2009,1,X,474,DALCAHUE,654,Jaiba marmola,"175,000",,5.43,L,,PP,,,
2009,1,X,474,DALCAHUE,258,Pejegallo,"600,000",,1.20,L,,CHD,,,
2009,1,X,474,DALCAHUE,258,Pejegallo,"200,000",,1.00,L,,CHD,,,
2009,1,X,474,DALCAHUE,258,Pejegallo,"300,000",,0.60,L,,CHD,,,
2009,1,X,474,DALCAHUE,228,Congrio dorado,"400,000",,1.50,L,,CHD,,,
2009,1,X,474,DALCAHUE,268,Raya volantín,"1,000,000",,4.50,L,,PP,,,
2009,1,X,474,DALCAHUE,268,Raya volantín,"1,275,000",,1.50,L,,PP,,,
2009,1,X,474,DALCAHUE,228,Congrio dorado,"400,000",,1.50,L,,CHD,,,
2009,1,X,474,DALCAHUE,258,Pejegallo,"600,000",,0.50,L,,CHD,,,
2009,1,X,474,DALCAHUE,228,Congrio dorado,"400,000",,0.40,L,,CHD,,,
2009,1,X,474,DALCAHUE,654,Jaiba marmola,"175,000",,34.72,L,,PP,,,
2009,1,X,474,DALCAHUE,268,Raya volantín,"800,000",,6.00,L,,PP,,,
2009,1,X,474,DALCAHUE,228,Congrio dorado,"750,000",,4.00,L,,CHD,,,
2009,1,X,456,ANCUD,444,Huepo o navaja de mar,"500,000",,0.02,L,BN,PP,,,
2009,1,X,456,ANCUD,406,Almeja o taca,"150,000",,0.04,L,BN,CHD,,,
2009,1,X,456,ANCUD,440,Culengue,"300,000",,0.05,L,BN,PP,,,
2009,1,X,456,ANCUD,440,Culengue,"300,000",,0.33,B,BN,PP,,,
2009,1,X,456,ANCUD,406,Almeja o taca,"150,000",,0.12,B,BN,CHD,,,
2009,1,X,456,ANCUD,444,Huepo o navaja de mar,"500,000",,0.15,B,BN,PP,,,
2009,1,X,456,ANCUD,406,Almeja o taca,"150,000",,0.16,B,BN,PP,,,
2009,1,X,456,ANCUD,444,Huepo o navaja de mar,"500,000",,0.07,B,BN,PP,,,
2009,1,X,456,ANCUD,654,Jaiba marmola,"200,000",,0.46,B,BN,PP,,,
2009,1,X,456,ANCUD,135,Luga - Luga,"180,000",No disponible,0.39,B,BN,PP,,,
2009,1,X,456,ANCUD,654,Jaiba marmola,"200,000",,0.37,B,BN,PP,,,
2009,1,X,456,ANCUD,440,Culengue,"300,000",,0.09,B,BN,PP,,,
2009,1,X,456,ANCUD,406,Almeja o taca,"150,000",,0.17,B,BN,CHD,,,
2009,1,X,456,ANCUD,444,Huepo o navaja de mar,"500,000",,0.12,B,BN,PP,,,
2009,1,X,456,ANCUD,440,Culengue,"300,000",,0.08,B,BN,PP,,,
2009,1,X,456,ANCUD,406,Almeja o taca,"150,000",,0.20,B,BN,CHD,,,
2009,1,X,456,ANCUD,444,Huepo o navaja de mar,"500,000",,0.09,B,BN,PP,,,
2009,1,X,456,ANCUD,406,Almeja o taca,"150,000",,0.44,L,BN,PP,,,
2009,1,X,456,ANCUD,644,Picoroco,"500,000",,0.01,B,BN,CHD,,,
2009,1,X,456,ANCUD,444,Huepo o navaja de mar,"500,000",,0.07,B,BN,PP,,,
2009,1,X,456,ANCUD,440,Culengue,"300,000",,0.24,B,BN,PP,,,
2009,1,X,456,ANCUD,444,Huepo o navaja de mar,"500,000",,0.31,B,BN,PP,,,
2009,1,XI,518,PTO. CHACABUCO,244,Merluza del sur,"1,000,000",,7.51,B,,PP,,,
2009,1,XI,518,PTO. CHACABUCO,228,Congrio dorado,"800,000",,0.25,B,,PP,,,
2009,1,XI,518,PTO. CHACABUCO,244,Merluza del sur,"1,000,000",,11.71,B,,PP,,,
2009,1,XI,518,PTO. CHACABUCO,228,Congrio dorado,"800,000",,0.34,B,,PP,,,
2009,2,I,10,CAVANCHA,204,Breca,"1,000,000",,0.04,B,BN,CHD,,,
2009,2,I,10,CAVANCHA,284,Tiburón o marrajo,"1,200,000",,0.40,B,BN,CHD,,,
2009,2,II,50,ANTOFAGASTA,278,Sardina española,"130,000",,0.80,B,BN,CHD,,,
2009,2,II,50,ANTOFAGASTA,214,Bonito,"1,700,000",,2.00,L,BN,CHD,,,
2009,2,II,50,ANTOFAGASTA,231,Dorado de altura,"900,000",,0.60,B,BN,CHD,,,
2009,2,II,50,ANTOFAGASTA,214,Bonito,"500,000",,1.80,L,BN,CHD,,,
2009,2,II,41,PUNTA ATALA,141,Chacón o Huiro negro,"120,000",No disponible,9.00,O,BN,PP,,,
2009,2,II,41,PUNTA ATALA,142,Huiro palo,"120,000",No disponible,10.00,O,BN,PP,,,
2009,2,II,46,TOCOPILLA,450,Lapa,"600,000",,1.00,B,BN,PP,,,
2009,2,II,46,TOCOPILLA,229,Congrio negro,"1,200,000",,0.03,B,BN,CHD,,,
2009,2,II,46,TOCOPILLA,227,Congrio colorado,"1,200,000",,0.20,B,BN,CHD,,,
2009,2,II,46,TOCOPILLA,220,Cabrilla,"1,000,000",,0.08,B,BN,CHD,,,
2009,2,II,46,TOCOPILLA,226,Cojiboba del norte ,"1,800,000",,0.16,B,BN,CHD,,,
2009,2,II,60,MEJILLONES,406,Almeja o taca,"400,000",,0.01,B,BN,CHD,,,
2009,2,II,60,MEJILLONES,450,Lapa,"750,000",,0.01,B,BN,CHD,,,
2009,2,II,60,MEJILLONES,425,Cholga,"500,000",,0.01,B,BN,CHD,,,
2009,2,II,60,MEJILLONES,425,Cholga,"250,000",,0.01,B,BN,CHD,,,
2009,2,II,60,MEJILLONES,406,Almeja o taca,"500,000",,0.01,B,BN,CHD,,,
2009,2,II,60,MEJILLONES,440,Culengue,"500,000",,0.01,B,BN,CHD,,,
