PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,
2010,,,,,,,,,,,,,
,,,,,,,,,,,,,
AÑO,MES,REGIÓN,CALETA,Nom_caleta,ESPECIE,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,
2010,1,XIV,412,NIEBLA,258,Pejegallo,"600,000",,0.100,B,,CHD,
2010,1,XIV,412,NIEBLA,406,Almeja,"300,000",,0.300,B,AM,CHD,
2010,1,XIV,412,NIEBLA,425,Cholga,"300,000",,0.100,B,AM,CHD,
2010,1,XIV,412,NIEBLA,430,Chorito,"350,000",,0.200,B,AM,CHD,
2010,1,XIV,412,NIEBLA,435,Choro,"400,000",,0.300,B,AM,CHD,
2010,1,XIV,412,NIEBLA,465,Navajuela,"400,000",,0.100,B,AM,CHD,
2010,1,XIV,412,NIEBLA,227,Congrio colorado,"2,000,000",,0.200,B,,PP,
2010,1,XIV,412,NIEBLA,242,Merluza común,"1,500,000",,0.250,B,,PP,
2010,1,XIV,412,NIEBLA,270,Robalo,"1,000,000",,0.100,B,,PP,
2010,1,XIV,412,NIEBLA,406,Almeja,"300,000",,0.100,B,BN,PP,
2010,1,XIV,412,NIEBLA,430,Chorito,"250,000",,0.300,B,BN,PP,
2010,1,XIV,412,NIEBLA,435,Choro,"300,000",,0.200,B,BN,PP,
2010,1,XIV,412,NIEBLA,465,Navajuela,"450,000",,0.040,B,BN,PP,
2010,1,XV,4,ARICA,271,Rococo,"1,600,000",,0.030,B,BN,CHD,
2010,1,XV,4,ARICA,221,Cabrilla común,"1,500,000",,0.020,B,BN,CHD,
2010,1,XV,4,ARICA,272,Roncacho,"800,000",,0.020,B,BN,CHD,
2010,1,XV,4,ARICA,425,Cholga,"800,000",,0.600,B,BN,CHD,
2010,1,XV,4,ARICA,820,Piure,"1,000,000",,0.300,B,BN,CHD,
2010,1,XV,4,ARICA,284,Tiburón o marrajo,"4,000,000",,1.900,B,BN,CHD,
2010,1,XV,4,ARICA,254,Palometa,"1,300,000",,3.200,B,BN,CHD,
