PRECIOS DE PRIMERA TRANSACCIîN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2017,,,,,,,,,,,,
,,,,,,,,,,,,
A„O,MES,REGIîN,C—digo Caleta,Nom_caleta,C—digo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2017,2,2,56,TALTAL,266,Albacora o pez espada,"4,000,000",,1,O,BN,CHD
2017,2,2,56,TALTAL,236,Lenguado de ojos chicos,"4,000,000",,1,B,BN,CHD
2017,2,2,56,TALTAL,810,Erizo,"480,000",,1,O,BN,CHD
2017,2,3,78,HUASCO,820,Piure,"120,000",,3.6,B,BN,CHD
2017,2,3,78,HUASCO,242,Merluza comœn,"1,100,000",,0.08,B,BN,CHD
2017,2,3,76,CALDERA,207,Apa–ado,"2,000,000",,0.06,L - B,BN,CHD
2017,2,3,76,CALDERA,211,Azulejo,"2,000,000",,0.13,L,BN,PP
2017,2,3,76,CALDERA,218,Caballa,"2,150,000",,0.27,L,BN,PP
2017,2,3,76,CALDERA,227,Congrio colorado,"2,500,000",,2.68,L - B,BN,CHD
2017,2,3,76,CALDERA,231,Dorado de altura,"1,500,000",,1.52,L - B,BN,CHD
2017,2,3,76,CALDERA,653,Jaiba peluda,"1,000,000",,7.3,B,BN,CHD
2017,2,3,76,CALDERA,234,Jurel,"2,150,000",,104,L-B,BN,PP
2017,2,3,76,CALDERA,141,Chasc—n o huiro negro,"370,000",30,12.7,O,BN,PP
2017,2,3,76,CALDERA,141,Chasc—n o huiro negro,"320,000",30,13.75,B,BN,PP
2017,2,3,76,CALDERA,145,Huiro,"300,000",35,2,B,BN,PP
2017,2,3,78,HUASCO,266,Albacora o pez espada,"2,000,000",,,B,BN,PP
2017,2,3,78,HUASCO,406,Almeja,"1,000,000",,0.1,B,BN,CHD
2017,2,3,78,HUASCO,207,Apa–ado,"1,200,000",,,B,BN,CHD
2017,2,3,78,HUASCO,451,Lapa negra,"1,000,000",,0.36,B,BN,CHD
2017,2,3,78,HUASCO,652,Jaiba mora,"300,000",,0.11,B,BN,CHD
2017,2,3,78,HUASCO,234,Jurel,"1,000,000",,,B,BN,CHD
