PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2014,,,,,,,,,,,,
,,,,,,,,,,,,
AÑO,MES,REGIÓN,Codigo Caleta,Nom_caleta,Codigo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2014,2,8,350,LO ROJAS,230,Corvina,"1,780,000",,0.57,B - L,BN,CHD
2014,2,8,350,LO ROJAS,282,Sierra,"980,000",,1.86,,,
2014,2,8,350,LO ROJAS,658,Jaiba reina,"720,000",,1.31,B,BN,CHD - PP
2014,2,8,350,LO ROJAS,820,Piure,"680,000",,2.8,B,BN,CHD
2014,2,8,350,LO ROJAS,653,Jaiba peluda ,"710,000",,1.85,B,BN,PP
2014,2,8,350,LO ROJAS,425,Cholga,"720,000",,0.45,L,BN,CHD
2014,2,8,350,LO ROJAS,445,Jibia o calamar rojo,"100,000",,6.3,L,BN,PP
2014,2,8,350,LO ROJAS,236,Lenguado de ojos chicos,"1,440,000",,0.48,B,BN,CHD
2014,2,8,350,LO ROJAS,274,Reineta,"600,000",,7.35,B - L,BN,CHD
2014,2,8,350,LO ROJAS,270,Robalo,"670,000",,0.34,B,BN,CHD
2014,2,8,350,LO ROJAS,654,Jaiba marmola,"650,000",,1.38,B,BN,CHD - PP
2014,2,8,350,LO ROJAS,260,Pejerrey de mar,"460,000",,0.69,B - L,BN,CHD - PP
2014,2,8,350,LO ROJAS,227,Congrio colorado,"2,320,000",,0.51,B,BN,CHD
2014,2,8,350,LO ROJAS,229,Congrio negro,"1,450,000",,0.81,B,BN,CHD
2014,2,8,350,LO ROJAS,465,Navajuela,"590,000",,8,B,BN,PP
2014,2,8,350,LO ROJAS,444,Huepo o navaja de mar,"760,000",,4.96,B,BN,PP
2014,2,8,350,LO ROJAS,242,Merluza común,"895,000",,1.84,L,BN,CHD
2014,2,8,350,LO ROJAS,282,Sierra,"950,000",,1.76,L,BN,CHD
2014,2,8,350,LO ROJAS,213,Blanquillo,"410,000",,0.97,B,BN,CHD
2014,2,8,350,LO ROJAS,230,Corvina,"1,560,000",,0.31,L,BN,CHD
2014,2,8,350,LO ROJAS,407,Taquilla,"120,000",,7.1,B,BN,PP
2014,2,8,350,LO ROJAS,258,Pejegallo,"810,000",,5.71,B - L,BN,CHD
2014,2,8,350,LO ROJAS,406,Almeja,"620,000",,7.3,B,BN,CHD
2014,2,8,350,LO ROJAS,658,Jaiba reina,"780,000",,1.4,B,BN,CHD - PP
2014,2,8,350,LO ROJAS,425,Cholga,"620,000",,0.61,B,BN,CHD
2014,2,8,350,LO ROJAS,653,Jaiba peluda ,"761,000",,1.23,B,BN,CHD - PP
2014,2,8,350,LO ROJAS,655,Jaiba remadora,"610,000",,1.86,B,BN,CHD - PP
2014,2,8,350,LO ROJAS,820,Piure,"620,000",,1.56,B,BN,CHD
2014,2,8,350,LO ROJAS,445,Jibia o calamar rojo,"100,000",,5.3,L,BN,PP
2014,2,8,350,LO ROJAS,236,Lenguado de ojos chicos,"1,570,000",,0.31,B - L,BN,CHD
2014,2,8,350,LO ROJAS,274,Reineta,"600,000",,5.8,B - L,BN,CHD
2014,2,8,374,LEBU,274,Reineta,"400,000",,8,B,BN,CHD
2014,2,8,374,LEBU,274,Reineta,"400,000",,26,B - L,BN,CHD
2014,2,8,374,LEBU,217,Bacalao de profundidad,"6,226,498",,2,L,BN,PP
2014,2,9,388,QUEULE,282,Sierra,"200,000",,1,L,,CHD
2014,2,9,388,QUEULE,230,Corvina,"1,500,000",,1,L,,CHD
2014,2,9,388,QUEULE,226,Cojinoba del norte,"1,000,000",,1,L,,CHD
2014,2,9,388,QUEULE,258,Pejegallo,"800,000",,1,L,,CHD
2014,2,9,388,QUEULE,274,Reineta,"500,000",,1,L,,CHD
2014,2,9,388,QUEULE,286,Tollo,"800,000",,1,L,,CHD
2014,2,9,388,QUEULE,236,Lenguado de ojos chicos,"2,500,000",,1,L,,CHD
2014,2,9,388,QUEULE,654,Jaiba marmola,"750,000",,1,L,,CHD
2014,2,9,388,QUEULE,282,Sierra,"200,000",,1,L,,CHD
2014,2,9,388,QUEULE,230,Corvina,"1,500,000",,1,L,,CHD
2014,2,9,388,QUEULE,226,Cojinoba del norte,"1,000,000",,1,L,,CHD
2014,2,9,388,QUEULE,258,Pejegallo,"800,000",,1,L,,CHD
2014,2,9,388,QUEULE,282,Sierra,"200,000",,1,L,,CHD
2014,2,9,388,QUEULE,230,Corvina,"1,500,000",,1,L,,CHD
2014,2,9,388,QUEULE,226,Cojinoba del norte,"1,000,000",,1,L,,CHD
2014,2,9,388,QUEULE,258,Pejegallo,"800,000",,1,L,,CHD
2014,2,9,388,QUEULE,274,Reineta,"700,000",,1,L,,CHD
2014,2,9,388,QUEULE,286,Tollo,"800,000",,1,L,,CHD
2014,2,9,388,QUEULE,236,Lenguado de ojos chicos,"2,500,000",,1,L,,CHD
2014,2,9,388,QUEULE,654,Jaiba marmola,"750,000",,1,L,,CHD
2014,2,14,414,CORRAL,276,Sardina común,"85,000",,21.5,L,,PP
2014,2,14,414,CORRAL,223,Chancharro,"850,000",,22.46,L,,PP
2014,2,14,414,CORRAL,256,Pampanito,"85,000",,0.52,L,,PP
2014,2,14,414,CORRAL,249,Bacaladillo,"85,000",,29.16,L,,PP
2014,2,10,573,LA VEGA,275,Sardina austral,"80,000",,2,L,BN,CHD
2014,2,10,573,LA VEGA,260,Pejerrey de mar,"320,000",,2,L,BN,PP
2014,2,11,514,PTO AYSEN,244,Merluza del sur,"900,000",,1,L,BN,PP
2014,2,11,514,PTO AYSEN,228,Congrio dorado,"800,000",,1,,,
2014,2,11,514,PTO AYSEN,268,Raya volantin,"1,000,000",,1,,,
2014,2,11,514,PUERTO AYSEN,275,Sardina austral,"50,000",,91,L,BN,PP
2014,2,11,514,PTO AYSEN,654,Jaiba marmola,"175,000",,13.89,L,BN,PP
