PRECIOS DE PRIMERA TRANSACCI”N ,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,
2016,,,,,,,,,,,,,
,,,,,,,,,,,,,
AãO,MES,REGI”N,Codigo Caleta,Nom_caleta,Codigo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,
2016,2,2,50,ANTOFAGASTA,285,Tomoyo,"2,000,000",,0.003,B,BN,CHD,
2016,2,2,50,ANTOFAGASTA,406,Almeja,"700,000",,0.001,B,BN,CHD,
2016,2,2,50,ANTOFAGASTA,220,Cabrilla,"3,300,000",,0.003,B,BN,CHD,
2016,2,2,50,ANTOFAGASTA,451,Lapa negra,"1,000,000",,0.001,B,BN,CHD,
2016,2,2,50,ANTOFAGASTA,280,Sargo,"1,000,000",,0.001,B,BN,CHD,
2016,2,2,50,ANTOFAGASTA,204,Breca o Bilagay,"1,000,000",,0.001,B,BN,CHD,
2016,2,2,50,ANTOFAGASTA,272,Roncacho,"1,000,000",,0.001,B,BN,CHD,
2016,2,3,76,CALDERA,406,Almeja,"1,000,000",,,B,BN,CHD,
2016,2,3,76,CALDERA,425,Cholga,"1,500,000",,,B,BN,CHD,
2016,2,3,76,CALDERA,451,Lapa negra,"1,000,000",,,B,BN,CHD,
2016,2,5,230,SAN ANTONIO,651,Jaiba limon,"1,000,000",,,B,BN,CHD,
2016,2,5,230,SAN ANTONIO,242,Merluza comun,"1,200,000",,,B - L,BN,CHD,
2016,2,5,230,SAN ANTONIO,229,Congrio negro,"1,500,000",,,B - L,BN,CHD,
2016,2,5,230,SAN ANTONIO,236,Lenguado de ojos chicos,"5,000,000",,,B,BN,CHD,
2016,2,5,230,SAN ANTONIO,282,Sierra,"1,200,000",,,B - L,BN,CHD,
2016,2,5,230,SAN ANTONIO,231,Dorado,"1,150,000",,,B,BN,CHD,
2016,2,5,230,SAN ANTONIO,230,Corvina,"2,250,000",,,B,BN,CHD,
2016,2,5,230,SAN ANTONIO,217,Bacalao de profundidad,"12,000,000",,,L,BN,CHD,
2016,2,5,230,SAN ANTONIO,234,Jurel,"900,000",,,B - L,BN,CHD,
2016,2,5,230,SAN ANTONIO,227,Congrio colorado,"4,250,000",,,B,BN,CHD,
2016,2,6,246,PICHILEMU,242,Merluza comun,"1,000,000",,0.084,B,BN,CHD,
2016,2,6,246,PICHILEMU,651,Jaiba limon,"1,000,000",,0.3,B,BN,CHD,
2016,2,7,268,DUAO,274,Reineta,"600,000",,0.001,B,BN,CHD,
2016,2,7,268,DUAO,242,Merluza comun,"370,400",,0.001,B,BN,CHD,
2016,2,7,268,DUAO,242,Merluza comun,"555,600",,0.001,B,BN,CHD,
2016,2,7,268,DUAO,242,Merluza comun,"203,700",,0.001,B,BN,CHD,
2016,2,7,268,DUAO,242,Merluza comun,"222,220",,0.001,B,BN,CHD,
2016,2,7,268,DUAO,242,Merluza comun,"333,000",,0.001,B,BN,CHD,
2016,2,7,268,DUAO,242,Merluza comun,"555,600",,0.001,B,BN,CHD,
2016,2,7,268,DUAO,242,Merluza comun,"555,600",,0.001,B,BN,CHD,
2016,2,7,268,DUAO,242,Merluza comun,"314,900",,0.001,B,BN,CHD,
2016,2,8,336,SAN VICENTE,820,Piure,"250,000",,0.5,B,BN,CHD,
2016,2,8,336,SAN VICENTE,445,Jibia o calamar rojo ,"110,000",,5,L,BN,PP,
2016,2,8,336,SAN VICENTE,644,Picoroco,"450,000",,0.4,B,BN,CHD,
2016,2,8,336,SAN VICENTE,445,Jibia o calamar rojo ,"110,000",,10,L,BN,PP,
2016,2,8,308,COCHOLGUE,137,Luga negra o crespa,"450,000",35,0.8,B,BN,CHD,
2016,2,8,308,COCHOLGUE,230,Corvina,"2,500,000",,0.025,B,BN,CHD,
2016,2,8,308,COCHOLGUE,273,Rollizo,"900,000",,0.01,B,BN,CHD,
2016,2,8,308,COCHOLGUE,820,Piure,"300,000",,0.02,B,BN,CHD,
2016,2,8,308,COCHOLGUE,282,Sierra,"1,500,000",,0.3,B,BN,CHD,
2016,2,8,308,COCHOLGUE,274,Reineta,"1,000,000",,1,B,BN,CHD,
2016,2,8,308,COCHOLGUE,227,Congrio colorado,"2,500,000",,0.3,B,BN,CHD,
2016,2,8,350,LO ROJAS,655,Jaiba remadora,"820,000",,0.8,B - L,BN,CHD - PP,
2016,2,8,350,LO ROJAS,260,Pejerrey de mar,"500,000",,0.6,B - L,BN,CHD - PP,
2016,2,8,350,LO ROJAS,227,Congrio colorado,"2,500,000",,0.1,B,BN,CHD,
2016,2,8,350,LO ROJAS,229,Congrio negro,"1,900,000",,0.6,B,BN,CHD,
2016,2,8,350,LO ROJAS,654,Jaiba marmola,"960,000",,0.1,B - L,BN,CHD - PP,
2016,2,8,350,LO ROJAS,444,Huepo o navaja de mar,"1,180,000",,12,B,BN,CHD - PP,
