PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2011,,,,,,,,,,,,
,,,,,,,,,,,,
AÑO,MES,REGIÓN,Código Caleta,Nom_caleta,Código especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2011,Enero,VIII,310,TOMÉ,406,Almeja,"800,000",,0.60,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,425,Cholga,"1,000,000",,0.80,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,450,Lapa,"1,000,000",,0.20,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,644,Picoroco,"750,000",,1.50,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,465,Navajuela,"500,000",,1.30,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,820,Piure,"500,000",,1.00,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,640,Jaiba,"700,000",,0.60,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,227,Congrio colorado,"3,000,000",,0.50,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,229,Congrio negro,"1,000,000",,0.50,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,282,Sierra,"700,000",,1.00,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,242,Merluza común,"357,000",,5.15,L,BN,CHD
2011,Enero,VIII,310,TOMÉ,230,Corvina,"2,000,000",,0.10,L,BN,CHD
2011,Enero,VIII,310,TOMÉ,220,Cabrilla ,"280,000",,0.60,L,BN,CHD
2011,Enero,VIII,310,TOMÉ,406,Almeja,"700,000",,0.30,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,425,Cholga,"1,000,000",,0.90,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,450,Lapa,"1,000,000",,0.50,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,644,Picoroco,"750,000",,1.20,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,465,Navajuela,"500,000",,0.80,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,820,Piure,"500,000",,1.00,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,640,Jaiba,"700,000",,0.50,B,BN,CHD
2011,Enero,X ,474,DALCAHUE,244,Merluza del sur,"300,000",,1.80,B,,CHD
2011,Enero,X ,474,DALCAHUE,244,Merluza del sur,"500,000",,0.50,B,,CHD
2011,Enero,X ,474,DALCAHUE,654,Jaiba marmola,"110,000",,0.20,L,,PP
2011,Enero,X ,474,DALCAHUE,654,Jaiba marmola,"110,000",,12.00,L,,PP
2011,Enero,X ,474,DALCAHUE,405,Juliana o tawera,"100,000",,1.10,L,BN,PP
2011,Enero,X ,490,QUICAVÍ,137,Luga negra o crespa,"60,000",,30.00,O,BN,PP
2011,Enero,X ,474,DALCAHUE,460,Macha,"50,000",,0.60,O,BN,PP
2011,Enero,X ,474,DALCAHUE,654,Jaiba marmola,"170,000",,6.50,L,,PP
2011,Enero,X ,474,DALCAHUE,654,Jaiba marmola,"170,000",,6.00,L,,PP
2011,Enero,X ,490,QUICAVÍ,137,Luga negra o crespa,"60,000",,10.60,O,BN,PP
2011,Enero,X ,490,QUICAVÍ,137,Luga negra o crespa,"60,000",,10.77,O,BN,PP
2011,Enero,X ,474,DALCAHUE,406,Almeja,"145,000",,12.30,L,BN,PP
2011,Enero,X ,474,DALCAHUE,460,Macha,"50,000",,1.10,O,BN,PP
2011,Enero,X ,474,DALCAHUE,258,Pejegallo,"200,000",,0.20,L,,CHD
2011,Enero,X ,474,DALCAHUE,258,Pejegallo,"200,000",,0.20,L,,CHD
2011,Enero,X ,474,DALCAHUE,258,Pejegallo,"200,000",,2.00,L,,CHD
2011,Enero,X ,474,DALCAHUE,654,Jaiba marmola,"110,000",,0.40,L,,PP
2011,Enero,X ,474,DALCAHUE,234,Jurel,"300,000",,6.80,L,,CHD
2011,Enero,X ,474,DALCAHUE,234,Jurel,"200,000",,6.60,L,,CHD
2011,Enero,X ,474,DALCAHUE,654,Jaiba marmola,"110,000",,9.00,L,,PP
2011,Enero,X ,474,DALCAHUE,137,Luga negra o crespa,"60,000",,17.00,O,BN,PP
2011,Enero,X ,474,DALCAHUE,137,Luga negra o crespa,"60,000",,30.00,O,BN,PP
2011,Enero,X ,474,DALCAHUE,460,Macha,"50,000",,4.40,O,BN,PP
2011,Enero,X ,474,DALCAHUE,460,Macha,"50,000",,0.80,O,BN,PP
2011,Enero,X ,474,DALCAHUE,234,Jurel,"100,000",,1.20,L,,CHD
2011,Enero,X ,474,DALCAHUE,234,Jurel,"100,000",,1.20,L,,CHD
2011,Enero,X ,474,DALCAHUE,460,Macha,"50,000",,0.70,O,BN,PP
2011,Enero,X ,474,DALCAHUE,654,Jaiba marmola,"170,000",,6.50,L,,PP
2011,Enero,X ,474,DALCAHUE,654,Jaiba marmola,"170,000",,3.50,L,,PP
2011,Enero,X ,474,DALCAHUE,654,Jaiba marmola,"170,000",,4.50,L,,PP
2011,Enero,X ,474,DALCAHUE,406,Almeja,"80,000",,3.60,L,BN,PP
2011,Enero,X ,474,DALCAHUE,234,Jurel,"300,000",,18.20,L,,CHD
2011,Enero,X ,474,DALCAHUE,137,Luga negra o crespa,"380,000",,5.50,O,BN,PP
2011,Enero,X ,474,DALCAHUE,137,Luga negra o crespa,"380,000",,8.50,O,BN,PP
2011,Enero,X ,474,DALCAHUE,137,Luga negra o crespa,"419,000",,15.00,O,BN,PP
2011,Enero,X ,474,DALCAHUE,258,Pejegallo,"200,000",,0.80,L,,CHD
2011,Enero,X ,474,DALCAHUE,258,Pejegallo,"200,000",,0.40,L,,CHD
2011,Enero,X ,474,DALCAHUE,258,Pejegallo,"200,000",,0.30,L,,CHD
2011,Enero,X ,474,DALCAHUE,234,Jurel,"200,000",,0.30,L,,CHD
2011,Enero,X ,474,DALCAHUE,258,Pejegallo,"200,000",,0.90,L,,CHD
2011,Enero,X ,474,DALCAHUE,137,Luga negra o crespa,"370,000",,30.00,O,BN,PP
2011,Enero,X ,474,DALCAHUE,234,Jurel,"230,000",,3.80,L,,CHD
2011,Enero,X ,474,DALCAHUE,406,Almeja,"145,000",,12.70,L,BN,PP
2011,Enero,X ,456,ANCUD,406,Almeja,"175,000",,,,,
2011,Enero,X ,456,ANCUD,444,Huepo o navaja de mar,"700,000",,,,,
2011,Enero,X ,456,ANCUD,440,Culengue,"230,000",,,,,
2011,Enero,X ,456,ANCUD,408,Tumbao,"100,000",,,,,
2011,Enero,X ,456,ANCUD,640,Jaiba,"200,000",,,,,
2011,Enero,X ,456,ANCUD,820,Piure,"500,000",,,,,
2011,Enero,X ,456,ANCUD,414,Caracol picuyo,"200,000",,,,,
2011,Enero,X ,456,ANCUD,810,Erizo,"400,000",,,,,
2011,Enero,X ,456,ANCUD,480,Ostra chilena,"500,000",,,,,
2011,Enero,X ,456,ANCUD,656,Cangrejo,"200,000",,,,,
2011,Enero,X ,456,ANCUD,228,Congrio dorado,"1,400,000",,,,,
2011,Enero,X ,456,ANCUD,273,Rollizo,"500,000",,,,,
2011,Enero,X ,456,ANCUD,282,Sierra,"1,000,000",,,,,
2011,Enero,X ,494,QUELLÓN,217,Bacalao de profundidad,"5,700,000",,1.96,O,,PP
2011,Enero,X ,494,QUELLÓN,217,Bacalao de profundidad,"5,200,000",,2.31,O,,PP
2011,Enero,XI,514,PTO. AYSÉN,244,Merluza del sur,"800,000",,,L,,PP
2011,Enero,XI,514,PTO. AYSÉN,228,Congrio dorado,"800,000",,13.00,L,,PP
2011,Enero,XI,514,PTO. AYSÉN,244,Merluza del sur,"800,000",,7.46,L,,PP
2011,Enero,XI,514,PTO. AYSÉN,228,Congrio dorado,"800,000",,,L,,PP
2011,Febrero,XV,4,ARICA,221,Cabrilla común,"1,800,000",,0.03,B,BN,CHD
2011,Febrero,XV,4,ARICA,272,Roncacho,"850,000",,0.03,B,BN,CHD
2011,Febrero,XV,4,ARICA,425,Cholga,"750,000",,0.05,B,BN,CHD
2011,Febrero,XV,4,ARICA,254,Palometa,"1,700,000",,3.50,B,BN,CHD
2011,Febrero,XV,4,ARICA,450,Lapa,"850,000",,0.05,B,BN,CHD
2011,Febrero,XV,4,ARICA,234,Jurel,"1,500,000",,0.02,B,BN,CHD
2011,Febrero,XV,4,ARICA,285,Tomoyo,"1,600,000",,0.05,B,BN,CHD
2011,Febrero,XV,4,ARICA,820,Piure,"1,000,000",,0.02,B,BN,CHD
2011,Febrero,XV,4,ARICA,221,Cabrilla común,"1,700,000",,0.06,B,BN,CHD
2011,Febrero,XV,4,ARICA,272,Roncacho,"700,000",,0.01,B,BN,CHD
2011,Febrero,XV,4,ARICA,820,Piure,"1,000,000",,0.01,B,BN,CHD
2011,Febrero,XV,4,ARICA,284,Tiburón o marrajo,"2,800,000",,2.30,B,BN,CHD
2011,Febrero,XV,4,ARICA,254,Palometa,"1,500,000",,1.00,B,BN,CHD
2011,Febrero,XV,4,ARICA,285,Tomoyo,"1,500,000",,0.06,B,BN,CHD
2011,Febrero,XV,4,ARICA,450,Lapa,"850,000",,0.04,B,BN,CHD
2011,Febrero,I,8,RIQUELME,254,Palometa,"1,200,000",,1.65,L,BN,CHD
2011,Febrero,I,8,RIQUELME,229,Congrio negro,"1,500,000",,0.37,B,BN,CHD
2011,Febrero,I,8,RIQUELME,284,Tiburón o marrajo,"1,500,000",,0.46,L,BN,CHD
2011,Febrero,I,8,RIQUELME,211,Azulejo,"500,000",,1.20,L,BN,CHD
2011,Febrero,I,8,RIQUELME,221,Cabrilla común,"1,500,000",,0.35,B,BN,CHD
2011,Febrero,I,8,RIQUELME,211,Azulejo,"500,000",,1.67,L,BN,CHD
2011,Febrero,I,8,RIQUELME,284,Tiburón o marrajo,"1,500,000",,0.78,L,BN,CHD
2011,Febrero,I,8,RIQUELME,221,Cabrilla común,"1,500,000",,0.24,B,BN,CHD
2011,Febrero,I,8,RIQUELME,226,Cojinoba del norte,"1,000,000",,0.47,B,BN,CHD
2011,Febrero,I,8,RIQUELME,211,Azulejo,"500,000",,1.67,L,BN,CHD
2011,Febrero,I,8,RIQUELME,284,Tiburón o marrajo,"1,500,000",,0.78,L,BN,CHD
2011,Febrero,I,8,RIQUELME,221,Cabrilla común,"1,500,000",,0.24,B,BN,CHD
2011,Febrero,I,8,RIQUELME,226,Cojinoba del norte,"1,000,000",,0.47,B,BN,CHD
2011,Febrero,I,10,CAVANCHA,266,Albacora o pez espada,"1,200,000",,2.00,L,BN,CHD
2011,Febrero,I,10,CAVANCHA,266,Albacora o pez espada,"2,200,000",,0.85,L,BN,CHD
2011,Febrero,I,10,CAVANCHA,284,Tiburón o marrajo,"1,500,000",,0.10,L,BN,CHD
2011,Febrero,II,56,TALTAL,262,Pejeperro,"1,800,000",,0.02,B,BN,CHD
2011,Febrero,II,56,TALTAL,252,Vieja o mulata,"1,000,000",,0.01,B,BN,CHD
2011,Febrero,II,56,TALTAL,207,Apañado,"1,000,000",,0.01,B,BN,CHD
2011,Febrero,II,56,TALTAL,236,Lenguado,"2,000,000",,0.01,B,BN,CHD
2011,Febrero,II,56,TALTAL,231,Dorado de altura,"1,700,000",,0.05,B,BN,CHD
2011,Febrero,II,56,TALTAL,450,Lapa,"1,125,000",,0.68,,AM,PP
2011,Febrero,II,50,ANTOFAGASTA,207,Apañado,"625,000",,0.02,B,BN,CHD
2011,Febrero,II,50,ANTOFAGASTA,284,Tiburón o marrajo,"1,600,000",,1.40,L,BN,CHD
